# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -2.9465
# k_min, k_max      =     0.0000    2.1339
# E_min, E_max      =   -22.4181   21.1234
# Nbands, Nspin, Nk =      8     1   901
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -22.418100
      0.002603    -22.418000
      0.005207    -22.417800
      0.007810    -22.417500
      0.010414    -22.417000
      0.013017    -22.416500
      0.015621    -22.415700
      0.018224    -22.414900
      0.020828    -22.413900
      0.023431    -22.412800
      0.026035    -22.411600
      0.028638    -22.410200
      0.031242    -22.408700
      0.033845    -22.407100
      0.036449    -22.405300
      0.039052    -22.403500
      0.041656    -22.401400
      0.044259    -22.399300
      0.046863    -22.397000
      0.049466    -22.394600
      0.052070    -22.392100
      0.054673    -22.389400
      0.057277    -22.386600
      0.059880    -22.383700
      0.062484    -22.380600
      0.065087    -22.377500
      0.067691    -22.374100
      0.070294    -22.370700
      0.072898    -22.367100
      0.075501    -22.363400
      0.078105    -22.359600
      0.080708    -22.355600
      0.083312    -22.351500
      0.085915    -22.347300
      0.088519    -22.342900
      0.091122    -22.338500
      0.093726    -22.333800
      0.096329    -22.329100
      0.098933    -22.324200
      0.101536    -22.319200
      0.104140    -22.314100
      0.106743    -22.308800
      0.109347    -22.303400
      0.111950    -22.297900
      0.114554    -22.292300
      0.117157    -22.286500
      0.119761    -22.280600
      0.122364    -22.274500
      0.124968    -22.268300
      0.127571    -22.262000
      0.130174    -22.255600
      0.132778    -22.249000
      0.135381    -22.242300
      0.137985    -22.235500
      0.140588    -22.228600
      0.143192    -22.221500
      0.145795    -22.214300
      0.148399    -22.206900
      0.151002    -22.199500
      0.153606    -22.191900
      0.156209    -22.184100
      0.158813    -22.176300
      0.161416    -22.168300
      0.164020    -22.160200
      0.166623    -22.151900
      0.169227    -22.143500
      0.171830    -22.135000
      0.174434    -22.126400
      0.177037    -22.117600
      0.179641    -22.108700
      0.182244    -22.099700
      0.184848    -22.090500
      0.187451    -22.081200
      0.190055    -22.071800
      0.192658    -22.062300
      0.195262    -22.052600
      0.197865    -22.042800
      0.200469    -22.032800
      0.203072    -22.022800
      0.205676    -22.012600
      0.208279    -22.002300
      0.210883    -21.991800
      0.213486    -21.981200
      0.216090    -21.970500
      0.218693    -21.959700
      0.221297    -21.948700
      0.223900    -21.937600
      0.226504    -21.926400
      0.229107    -21.915000
      0.231711    -21.903500
      0.234314    -21.891900
      0.236918    -21.880100
      0.239521    -21.868300
      0.242125    -21.856200
      0.244728    -21.844100
      0.247332    -21.831800
      0.249935    -21.819500
      0.252539    -21.806900
      0.255142    -21.794300
      0.257745    -21.781500
      0.260349    -21.768600
      0.262952    -21.755500
      0.265556    -21.742400
      0.268159    -21.729100
      0.270763    -21.715600
      0.273366    -21.702100
      0.275970    -21.688400
      0.278573    -21.674600
      0.281177    -21.660600
      0.283780    -21.646600
      0.286384    -21.632400
      0.288987    -21.618000
      0.291591    -21.603600
      0.294194    -21.589000
      0.296798    -21.574300
      0.299401    -21.559500
      0.302005    -21.544500
      0.304608    -21.529400
      0.307212    -21.514200
      0.309815    -21.498800
      0.312419    -21.483300
      0.315022    -21.467700
      0.317626    -21.452000
      0.320229    -21.436100
      0.322833    -21.420100
      0.325436    -21.404000
      0.328040    -21.387700
      0.330643    -21.371300
      0.333247    -21.354800
      0.335850    -21.338200
      0.338454    -21.321400
      0.341057    -21.304500
      0.343661    -21.287500
      0.346264    -21.270400
      0.348868    -21.253100
      0.351471    -21.235700
      0.354075    -21.218200
      0.356678    -21.200500
      0.359282    -21.182700
      0.361885    -21.164800
      0.364489    -21.146800
      0.367092    -21.128600
      0.369696    -21.110300
      0.372299    -21.091900
      0.374903    -21.073400
      0.377506    -21.054700
      0.380110    -21.035900
      0.382713    -21.017000
      0.385316    -20.997900
      0.387920    -20.978700
      0.390523    -20.959400
      0.393127    -20.940000
      0.395730    -20.920500
      0.398334    -20.900800
      0.400937    -20.881000
      0.403541    -20.861000
      0.406144    -20.841000
      0.408748    -20.820800
      0.411351    -20.800500
      0.413955    -20.780000
      0.416558    -20.759500
      0.419162    -20.738800
      0.421765    -20.718000
      0.424369    -20.697100
      0.426972    -20.676000
      0.429576    -20.654800
      0.432179    -20.633500
      0.434783    -20.612100
      0.437386    -20.590500
      0.439990    -20.568800
      0.442593    -20.547000
      0.445197    -20.525100
      0.447800    -20.503000
      0.450404    -20.480900
      0.453007    -20.458600
      0.455611    -20.436100
      0.458214    -20.413600
      0.460818    -20.390900
      0.463421    -20.368100
      0.466025    -20.345200
      0.468628    -20.322200
      0.471232    -20.299000
      0.473835    -20.275700
      0.476439    -20.252300
      0.479042    -20.228800
      0.481646    -20.205200
      0.484249    -20.181400
      0.486853    -20.157500
      0.489456    -20.133500
      0.492060    -20.109300
      0.494663    -20.085100
      0.497267    -20.060700
      0.499870    -20.036200
      0.502474    -20.011600
      0.505077    -19.986900
      0.507681    -19.962000
      0.510284    -19.937000
      0.512888    -19.912000
      0.515491    -19.886700
      0.518094    -19.861400
      0.520698    -19.836000
      0.523301    -19.810400
      0.525905    -19.784700
      0.528508    -19.758900
      0.531112    -19.733000
      0.533715    -19.706900
      0.536319    -19.680800
      0.538922    -19.654500
      0.541526    -19.628100
      0.544129    -19.601600
      0.546733    -19.575000
      0.549336    -19.548300
      0.551940    -19.521400
      0.554543    -19.494400
      0.557147    -19.467400
      0.559750    -19.440200
      0.562354    -19.412900
      0.564957    -19.385400
      0.567561    -19.357900
      0.570164    -19.330200
      0.572768    -19.302500
      0.575371    -19.274600
      0.577975    -19.246600
      0.580578    -19.218500
      0.583182    -19.190300
      0.585785    -19.162000
      0.588389    -19.133600
      0.590992    -19.105000
      0.593596    -19.076400
      0.596199    -19.047600
      0.598803    -19.018800
      0.601406    -18.989800
      0.604010    -18.960700
      0.606613    -18.931500
      0.609217    -18.902300
      0.611820    -18.872900
      0.614424    -18.843400
      0.617027    -18.813800
      0.619631    -18.784100
      0.622234    -18.754200
      0.624838    -18.724300
      0.627441    -18.694300
      0.630045    -18.664200
      0.632648    -18.634000
      0.635252    -18.603700
      0.637855    -18.573300
      0.640459    -18.542800
      0.643062    -18.512100
      0.645665    -18.481400
      0.648269    -18.450600
      0.650872    -18.419800
      0.653476    -18.388800
      0.656079    -18.357700
      0.658683    -18.326500
      0.661286    -18.295200
      0.663890    -18.263900
      0.666493    -18.232500
      0.669097    -18.200900
      0.671700    -18.169300
      0.674304    -18.137600
      0.676907    -18.105800
      0.679511    -18.073900
      0.682114    -18.042000
      0.684718    -18.010000
      0.687321    -17.977900
      0.689925    -17.945700
      0.692528    -17.913400
      0.695132    -17.881100
      0.697735    -17.848700
      0.700339    -17.816200
      0.702942    -17.783600
      0.705546    -17.751000
      0.708149    -17.718300
      0.710753    -17.685600
      0.713356    -17.652800
      0.715960    -17.619900
      0.718563    -17.587000
      0.721167    -17.554000
      0.723770    -17.520900
      0.726374    -17.487800
      0.728977    -17.454700
      0.731581    -17.421500
      0.734184    -17.388300
      0.736788    -17.355000
      0.739391    -17.321700
      0.741995    -17.288400
      0.744598    -17.255000
      0.747202    -17.221600
      0.749805    -17.188200
      0.752409    -17.154700
      0.755012    -17.121300
      0.757616    -17.087800
      0.760219    -17.054300
      0.762823    -17.020800
      0.765426    -16.987300
      0.768030    -16.953800
      0.770633    -16.920400
      0.773236    -16.886900
      0.775840    -16.853500
      0.778443    -16.820100
      0.781047    -16.786700
      0.782550    -16.786700
      0.784053    -16.786600
      0.785556    -16.786600
      0.787059    -16.786500
      0.788563    -16.786400
      0.790066    -16.786200
      0.791569    -16.786100
      0.793072    -16.785900
      0.794575    -16.785700
      0.796078    -16.785500
      0.797581    -16.785300
      0.799084    -16.785000
      0.800588    -16.784700
      0.802091    -16.784400
      0.803594    -16.784100
      0.805097    -16.783800
      0.806600    -16.783400
      0.808103    -16.783000
      0.809606    -16.782600
      0.811109    -16.782200
      0.812613    -16.781800
      0.814116    -16.781300
      0.815619    -16.780900
      0.817122    -16.780400
      0.818625    -16.779900
      0.820128    -16.779400
      0.821631    -16.778800
      0.823134    -16.778300
      0.824638    -16.777700
      0.826141    -16.777100
      0.827644    -16.776500
      0.829147    -16.775900
      0.830650    -16.775200
      0.832153    -16.774600
      0.833656    -16.773900
      0.835159    -16.773300
      0.836663    -16.772600
      0.838166    -16.771900
      0.839669    -16.771200
      0.841172    -16.770400
      0.842675    -16.769700
      0.844178    -16.769000
      0.845681    -16.768200
      0.847184    -16.767500
      0.848688    -16.766700
      0.850191    -16.765900
      0.851694    -16.765100
      0.853197    -16.764300
